-BEGIN HEADER-,,,,,,,,
NASA/POWER Source Native Resolution Daily Data ,,,,,,,,
Dates (month/day/year): 01/01/2000 through 01/01/2024 in LST,,,,,,,,
Location: latitude  39.3405   longitude -95.7227 ,,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 339.46 meters,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,
parameter(s): ,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,,
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,
-END HEADER-,,,,,,,,
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,WS10M,CLRSKY_SFC_SW_DWN
2004,3,17,4.01,7.63,78.17,0.12,2.7,5.42
2004,3,18,5.45,7.53,69.92,0,4.53,5.75
2004,3,19,4.98,11.84,78.35,0,7.05,5.61
2004,3,20,5.86,11.64,57.76,0,8.72,6.04
2004,3,21,6.17,1.56,58.21,0,4.53,6.26
2004,3,22,5.78,4.16,60.65,0,4.54,6.08
2004,3,23,4.19,13.28,72.38,1.23,7.91,5.71
2004,3,24,2.1,16.08,83.81,0.16,8.16,5.61
2004,3,25,1.51,17.56,87.6,1.01,7.31,5.4
2004,3,26,3.45,19.41,85.61,2.12,5.75,5.4
2004,3,27,0.98,17.4,87.44,20.97,9.89,5.16
2004,3,28,5.85,10.14,67.66,9.44,5.75,6.52
2004,3,29,4.92,8.47,70.02,1.06,3.93,6.52
2004,3,30,4.31,4.6,67.75,0,5.13,6.72
2004,3,31,5.82,4.53,64.27,0,2.66,6.68
2004,4,1,6.76,8.15,57.82,0,2.01,6.77
2004,4,2,6.89,8.99,67.17,0,3.03,6.9
2004,4,3,6.5,8.15,61.97,0,6.04,6.6
2004,4,4,7,8.69,57.75,0,2.47,7.02
2004,4,5,4.66,10.87,65.04,0,4.45,6.37
2004,4,6,5.26,15.49,78.8,0.1,3.81,6.32
2004,4,7,3.93,16.54,77.5,1.8,3.16,6.34
2004,4,8,7.23,10.45,60.74,0,4.95,7.25
2004,4,9,2.35,8.02,67.66,0.33,4.86,6.66
2004,4,10,4.29,6.26,65.52,0.09,6.22,6.79
2004,4,11,7.21,6.01,59.57,0,2.02,7.35
2004,4,12,4.38,6.74,64.8,0,3.9,6.81
2004,4,13,7.3,7.83,64.06,0,3.23,7.32
2004,4,14,7.08,11.69,61.57,0,5.98,7.37
2004,4,15,6.43,15.94,68.81,0,7.38,7.03
2004,4,16,7.17,19.61,74.68,0,6.64,7.18
2004,4,17,6.63,20.47,76.49,0,7.03,7.06
2004,4,18,2.26,19.79,77.14,1.03,11.94,6.55
2004,4,19,7.26,15.79,69.43,0.56,4.09,7.41
2004,4,20,3.3,17.92,79.53,6.8,5.66,6.78
2004,4,21,5.88,15.23,67.15,0.04,3.55,7.39
2004,4,22,1.62,11.45,78.05,5.46,6.47,6.93
2004,4,23,3.29,12.02,71.5,1.08,6.48,6.89
2004,4,24,2.1,12.83,81.94,9.47,7.1,7.15
2004,4,25,6.45,12.18,67.4,0.04,6.23,7.61
2004,4,26,7.89,12.58,51.91,0,5.78,8.02
2004,4,27,7.81,14.76,56.81,0,4.86,7.81
2004,4,28,7.54,19.9,61.8,0,10.97,7.69
2004,4,29,2.2,17.42,78.17,10.17,4.93,7.03
2004,4,30,1.53,11.03,84.35,13.25,5.67,7.09
2004,5,1,7.11,10.51,61.34,8.74,4.88,7.86
2004,5,2,6.21,8.06,61.26,0.56,4.62,7.86
2004,5,3,7.8,10.51,59.79,0,3.99,7.93
2004,5,4,4.63,15.97,72.57,0.1,3.07,7.51
2004,5,5,7.92,19.53,72.36,0,5.61,7.93
2004,5,6,7.89,22.87,72.52,0,6.5,7.92
2004,5,7,7.73,22.78,75.61,0,5.92,7.78
2004,5,8,7.84,23.3,74.99,1.73,6.74,7.86
2004,5,9,5.39,22.16,73.69,8.21,7.01,7.6
2004,5,10,4.59,21.2,85.1,12.63,3.97,7.23
2004,5,11,6.11,22.02,80.84,0.04,7.46,7.37
2004,5,12,2.56,21.84,85.1,11.99,5.61,7.44
2004,5,13,0.8,10.36,84.08,6.62,7,7.76
2004,5,14,7.97,9.97,66.14,6.74,5.32,8.32
2004,5,15,8.06,12.67,64.44,0.05,3.35,8.25
2004,5,16,7,17.8,75.99,0.08,6.54,7.8
2004,5,17,5.85,20.6,80.92,20.01,6.2,7.45
2004,5,18,2.92,20.58,91.91,13.95,3.25,7.15
2004,5,19,4.91,23.99,84.08,1.23,6,7.42
2004,5,20,6.04,24.42,81.31,0.01,4.84,7.79
2004,5,21,6.79,24.07,76.94,0.01,8.15,7.86
2004,5,22,5.68,24.26,76.34,4.08,7.96,7.87
2004,5,23,7.87,21.6,69.08,0.95,6.32,8.32
2004,5,24,5.04,21.22,81.39,10.12,7.24,7.62
2004,5,25,6.06,15.7,71.47,1.93,5.12,8.04
2004,5,26,4.78,17.33,79.83,3.1,3.51,7.89
2004,5,27,7.3,22.42,78.11,5.83,3.21,8.1
2004,5,28,7.43,22.11,71.72,0.07,4.7,8.31
2004,5,29,5.22,23.04,81.74,12.32,8.82,8
2004,5,30,5.64,20.76,71.31,6.93,6.73,8.06
2004,5,31,8.1,17.97,59.67,0,5.94,8.67
2004,6,1,8.63,18.88,56.98,0.16,5.4,8.71
2004,6,2,7.81,17.65,66.29,0,4.29,8.45
2004,6,3,7.07,19.2,67.27,0,2.52,8.53
2004,6,4,8.01,21.04,65.96,0,3.28,8.34
2004,6,5,2.44,19.11,82.84,8.38,4.33,7.82
2004,6,6,4.74,23.63,81.53,0.58,4.18,8.03
2004,6,7,6.72,24.97,76.71,0,7.89,8.03
2004,6,8,5.63,25.06,73.64,0.62,8.06,7.83
2004,6,9,2.64,22.53,84.53,7.65,6.28,7.83
2004,6,10,3.32,23.31,86.22,6.61,5.95,7.68
2004,6,11,7.01,26.67,72.85,5.74,5.73,8.27
2004,6,12,6.99,24.4,88.37,24.17,5.14,8.18
2004,6,13,6.68,24.81,79.65,4.18,5.46,8.19
2004,6,14,6.88,25.23,83.72,12.19,4.44,8.08
2004,6,15,5.94,24.08,88.9,5.18,2.94,7.91
2004,6,16,4.71,23.63,85.3,11.8,3.72,7.58
2004,6,17,5.54,21.15,75.11,2.49,2.43,7.63
2004,6,18,3.64,19.68,83.3,14.46,4.36,7.66
2004,6,19,5.37,15.87,70.4,0.01,3.28,8.06
2004,6,20,4.68,17.13,82.57,2.18,2.98,7.68
2004,6,21,7.16,21.4,79.94,0.98,4.84,8.18
2004,6,22,8.21,19.76,64.08,0,2.63,8.76
2004,6,23,7.92,22.23,65.88,0,5.07,8.45
2004,6,24,7.77,20.2,73.19,5.09,5.98,8.35
2004,6,25,8.32,17.16,63.77,0.06,3.57,8.5
2004,6,26,5.7,18.95,62.42,1.42,2.69,8.28
2004,6,27,2.13,16.97,89.87,17.48,2.33,7.49
2004,6,28,7.29,18.91,72.43,0,3.15,8.31
2004,6,29,7.3,19.58,64.27,0,2.18,8.25
2004,6,30,6.66,21.8,73.38,0.06,2.45,7.83
2004,7,1,3.39,22.33,88.96,8.25,3.59,7.62
2004,7,2,2.31,22.29,93.01,30.63,2.56,7.88
2004,7,3,6.6,24.07,81.09,2.14,4.34,8.11
2004,7,4,7.92,24.83,74.49,1.05,2.88,8.13
2004,7,5,7.1,24.13,83.02,22.36,4.29,7.88
2004,7,6,6.28,21.64,78.7,2.71,3.73,8.17
2004,7,7,5.53,21.56,71.33,0.02,2.9,8.25
2004,7,8,3.58,24.1,90.45,6.3,3.94,7.74
2004,7,9,5.37,24.49,89.31,2.72,3.21,7.63
2004,7,10,6.88,26.15,83.45,0.03,3.1,7.58
2004,7,11,6.94,26.89,83.49,17.37,5.46,7.87
2004,7,12,7.69,27.32,80.44,0.66,3.75,8.04
2004,7,13,7.9,27.65,75.87,0.4,3.71,8.19
2004,7,14,7.06,24.45,75.58,0.01,3.01,8.11
2004,7,15,7.08,25.2,80.27,13.12,2.05,7.95
2004,7,16,6.27,25.4,84.68,7.33,3.89,7.79
2004,7,17,7.21,22.48,76.87,0,3.55,7.38
2004,7,18,6.83,22.12,74.37,0,1.93,7.1
2004,7,19,7.74,25.53,76.9,3.92,4.64,7.87
2004,7,20,7.91,27.35,67.92,0.83,3.61,7.93
2004,7,21,2.61,26.73,71.68,3.38,4.69,7.49
2004,7,22,4.69,24.6,82.12,4.54,2.98,7.22
2004,7,23,2.45,21.62,88.46,8.79,3.86,7.1
2004,7,24,2.43,17.4,87.04,25.14,6.58,7.33
2004,7,25,6.51,18.29,74.08,0,3.77,7.65
2004,7,26,7.33,19.24,71.2,0,1.88,7.78
2004,7,27,7.66,20.03,71.01,0,3.75,8.04
2004,7,28,5.64,20.93,77.01,4.27,5.01,7.41
2004,7,29,3.85,21.21,84.26,0.5,2.14,7.13
2004,7,30,6.19,22.09,77.43,0.51,2.09,7.69
2004,7,31,7.69,23.95,74.88,0.02,4.32,7.77
2004,8,1,7.09,25.67,78.95,0.75,6.03,7.44
2004,8,2,6.49,27.87,76.6,0.01,5.22,7.39
2004,8,3,7.41,28.6,71.86,0.53,5.58,7.53
2004,8,4,3.64,25.65,76.3,1.26,4.99,7.47
2004,8,5,7.54,22.53,67.48,0.01,3.96,7.74
2004,8,6,7.43,19.71,66.52,0,2.98,7.76
2004,8,7,7.5,20.85,64.2,0,3.65,7.63
2004,8,8,5.64,22.75,76.82,9.49,4.36,7.12
2004,8,9,7.44,24.46,67.88,0.16,3.36,7.52
2004,8,10,6.59,19.48,60.67,0.45,4.06,7.58
2004,8,11,5.55,17.45,65.88,1.51,3.89,7.67
2004,8,12,5.3,17.07,61.36,0.49,1.97,7.53
2004,8,13,4.85,17.98,62.94,0.22,2.07,7.33
2004,8,14,7.05,18.04,57.1,0,3.06,7.5
2004,8,15,6.59,19.62,59.48,0,3.64,7.5
2004,8,16,5.93,21.28,71.44,0.57,4.4,7
2004,8,17,6.88,24.88,66.43,0.07,2.98,6.95
2004,8,18,6.41,25.59,66.07,1.46,4.78,7.09
2004,8,19,2.76,17.53,63.21,5,3.46,6.33
2004,8,20,5.23,18.92,63.14,1.56,2.46,7.21
2004,8,21,6.52,20.57,64.75,0,2.98,7.26
2004,8,22,6.62,23.66,69.61,0.02,4.6,6.94
2004,8,23,2.07,23.29,90.78,37.68,4.86,6.57
2004,8,24,5.14,24.81,87.65,19.52,4.48,6.71
2004,8,25,4.62,26.02,84.34,13.02,4.83,6.7
2004,8,26,6.93,25.73,81.63,1.04,4.97,6.95
2004,8,27,4.4,25.47,85.2,19.23,2.69,6.6
2004,8,28,5.24,20.57,77.57,2.58,4.56,6.77
2004,8,29,6.81,19.46,73.71,0.35,2.12,7.01
2004,8,30,6.26,21.84,72.98,0.54,2.43,6.74
2004,8,31,5.73,23.26,73.39,0,2.81,6.64
2004,9,1,5.62,22.98,74.65,0,2.9,6.59
2004,9,2,6.38,22.63,70.18,0,4.19,6.54
2004,9,3,6.21,22.67,68.55,0,4.86,6.34
2004,9,4,5.98,23.91,70.11,0,5.35,6.31
2004,9,5,3.87,24.04,80.21,16.04,6.92,6.15
2004,9,6,6.75,19.56,63.42,0,4.58,6.75
2004,9,7,6.69,18.07,61.24,0.14,3.46,6.69
2004,9,8,6.55,17.64,68.7,0.04,2.74,6.56
2004,9,9,6.47,19.09,69.19,0,3.71,6.48
2004,9,10,6.44,21.03,61.52,0,4.75,6.44
2004,9,11,5,21.72,59.88,0,3.62,6.2
2004,9,12,6.03,22.59,62.13,0,5.29,6.04
2004,9,13,5.79,24.36,57.88,0,7.69,5.95
2004,9,14,5.67,24.93,66.8,1.14,7.9,5.79
2004,9,15,4.67,22.91,68.64,6.9,5.92,5.87
2004,9,16,6.22,18.87,62.83,0,3.77,6.23
2004,9,17,3.35,19.54,64.69,1.15,5.09,5.87
2004,9,18,3.95,23.54,69.8,3.15,6.39,5.67
2004,9,19,5.74,23.26,61.48,0,6.29,5.87
2004,9,20,5.45,20.66,56.44,0,6.42,5.95
2004,9,21,5.47,21.99,61.79,0.72,6.13,5.59
2004,9,22,5.6,21.51,61.68,0.03,5.46,5.71
2004,9,23,4.29,19.64,59.86,0.84,4.88,5.61
2004,9,24,5.74,20.23,53.51,0,2.22,5.8
2004,9,25,5.65,20.03,58.89,0,3.58,5.66
2004,9,26,5.31,19.34,65.19,0,2.6,5.59
2004,9,27,5.1,20.24,58.87,0.01,2.19,5.44
2004,9,28,5.1,17.14,55.37,0.02,5.09,5.35
2004,9,29,5.27,14.37,53.06,0,3.29,5.46
2004,9,30,4.41,19,54.04,0,5.63,5.08
2004,10,1,1.85,16.15,63.04,1.64,7.82,4.57
2004,10,2,5.44,9.83,45.15,0,2.38,5.51
2004,10,3,5.28,16.15,47.44,0,4.94,5.29
2004,10,4,5.35,12.76,47.59,0,4.79,5.37
2004,10,5,5.24,12.98,47.57,0,4.03,5.28
2004,10,6,3.94,16.33,52.28,0.55,4.85,4.98
2004,10,7,1.23,17.83,93.1,10.23,5.23,4.46
2004,10,8,4.09,18.97,73,0.81,3.43,4.82
2004,10,9,4.94,14.99,59.22,0,3.53,5
2004,10,10,3.19,14.59,57.59,0.52,4.53,4.7
2004,10,11,1.6,11.92,65.24,6.47,4.89,4.6
2004,10,12,1.69,10.68,78.06,3.51,3.86,4.29
2004,10,13,3.15,11.83,60.84,0,7.1,4.6
2004,10,14,4.26,8.03,54.06,0,5.13,4.95
2004,10,15,2.47,8.77,58.49,0.01,6.54,4.75
2004,10,16,4.35,8.21,48.61,0,4.06,4.78
2004,10,17,4.38,11.98,59.95,0,5.15,4.51
2004,10,18,0.81,12.1,85.22,0.09,4.66,4.19
2004,10,19,2.42,11.68,82.07,0.57,3.06,4.3
2004,10,20,0.84,11.65,88.28,4.16,3.72,4.07
2004,10,21,0.78,15.87,87.3,0.32,5.38,4.07
2004,10,22,1.82,20.49,89.85,0.68,8.08,3.85
2004,10,23,4.36,14.64,60.04,0,5.71,4.37
2004,10,24,4.34,15.38,53.58,0,4.85,4.36
2004,10,25,3.75,14.05,74.33,2.78,4.87,3.93
2004,10,26,1.33,17.1,93.74,22.14,1.9,3.4
2004,10,27,1.17,16.33,90.14,6.72,3.99,3.54
2004,10,28,1.67,21.32,87.66,4.25,6.93,3.61
2004,10,29,3.06,20.81,66.58,0.24,9.05,3.76
2004,10,30,4.08,12.5,46.09,0,6.97,4.09
2004,10,31,2.43,12.37,67.65,2.28,4.26,3.86
2004,11,1,0.94,11.92,87.66,15.15,5.42,3.53
2004,11,2,0.96,7.6,74.4,0.44,6.18,3.74
2004,11,3,1.19,5.39,85.15,10.19,3.84,3.45
2004,11,4,3.41,6.1,68.3,0.12,5.16,3.74
2004,11,5,3.76,8.47,58.6,0.52,5.55,3.81
2004,11,6,3.48,11.94,66.66,0,4.24,3.78
2004,11,7,3.65,10.02,63.45,0,4.72,3.69
2004,11,8,3.46,7.28,69.76,0,4.05,3.66
2004,11,9,3.05,10.66,75.84,0,6.07,3.48
2004,11,10,1.05,9.74,84.95,8.48,4.96,3.16
2004,11,11,2.72,3.94,57.56,0.04,7.31,3.39
2004,11,12,3.25,1.82,65.22,0,3.57,3.58
2004,11,13,2.94,2.38,67.97,0,4.17,3.48
2004,11,14,2.2,5.29,79.28,0.08,3.46,3.08
2004,11,15,1.06,8.73,91.41,0.77,3.48,2.77
2004,11,16,1.9,13.05,93.77,0.06,4.55,2.9
2004,11,17,1.77,14.94,95.06,0.69,3.63,2.91
2004,11,18,0.51,13.39,94.14,4.97,3.54,2.87
2004,11,19,0.8,10.28,85.46,0.29,3.58,3.06
2004,11,20,2.85,5.76,74.21,0,4.22,3.09
2004,11,21,1.81,3.3,76.13,0.1,3.12,2.98
2004,11,22,0.99,5.52,87.37,0.04,3,2.93
2004,11,23,1.04,4.92,78.98,2.08,5.7,2.92
2004,11,24,2.43,-0.12,63.8,2.31,6.07,3.13
2004,11,25,2.51,3.02,75.54,0.05,4.82,2.99
2004,11,26,1.93,7.24,90.74,0.42,4.08,2.81
2004,11,27,1.21,2.91,72.78,1.52,7.93,3.05
2004,11,28,0.43,-0.28,79.6,1.84,4.8,2.82
2004,11,29,0.67,-0.04,83.71,2.77,6.5,2.69
2004,11,30,1.37,-2.95,79.75,0.84,4.2,2.81
2004,12,1,2.83,-0.86,71.55,0.07,2.66,3.02
2004,12,2,2.93,-0.58,79.4,0,3.7,2.95
2004,12,3,2.23,-0.62,80.23,0,4.2,2.91
2004,12,4,2.86,3.2,74.67,0,4.68,2.9
2004,12,5,0.39,2.66,96.2,12.64,4.07,2.42
2004,12,6,1.1,4.21,96.04,0.26,1.58,2.68
2004,12,7,1.75,1.96,84.72,0,4.39,2.8
2004,12,8,1.25,3.71,91.76,0.03,5.04,2.58
2004,12,9,2.56,4.85,81.78,0,4.52,2.75
2004,12,10,0.73,1.58,80.21,0.01,8.01,2.68
2004,12,11,2.19,0.68,83.34,0,4.24,2.75
2004,12,12,1.29,3.93,65.39,0.02,8.53,2.74
2004,12,13,2.71,-2.8,60.22,0,7.52,2.87
2004,12,14,2.91,-4.3,62.15,0,3.71,2.93
2004,12,15,2.42,-0.01,62.24,0,7.41,2.78
2004,12,16,2.69,0.99,85.88,0,4.34,2.7
2004,12,17,2.57,1.83,83.99,0,3.31,2.72
2004,12,18,2.56,1.69,72.06,0,6.75,2.75
2004,12,19,2.69,-7.5,43.6,0,5.9,2.81
2004,12,20,2.62,-0.21,76.09,0,6.97,2.7
2004,12,21,1.92,-2.64,60.84,0,6.3,2.81
2004,12,22,1.75,-10.43,59.25,0,5.61,2.87
2004,12,23,2.5,-11.93,58.96,0,5.27,2.87
2004,12,24,2.68,-8.95,63.5,0,6.29,2.85
2004,12,25,1.98,-1.29,78.2,0,4.56,2.67
2004,12,26,2.48,-0.89,81.72,0,4.24,2.65
2004,12,27,2.12,0.82,89.55,0,6.6,2.7
2004,12,28,2.36,2.11,93.31,0,4.86,2.66
2004,12,29,2.14,3.75,91.7,0,3.86,2.69
2004,12,30,2.06,10.81,83.82,0,8.78,2.54
2004,12,31,2.44,3.57,74.45,0,4.35,2.73
2005,1,1,0.94,9.93,95.78,0.86,6.74,2.49
2005,1,2,0.9,-1.15,77.37,7.21,4.78,2.42
2005,1,3,0.71,-2.26,89.77,12.82,4.42,2.62
2005,1,4,0.38,-5.33,93.09,13.32,5.24,2.51
2005,1,5,0.73,-8.37,96.45,8.81,6.65,2.72
2005,1,6,2.31,-14.1,96.89,0.01,4.31,2.97
2005,1,7,0.88,-13.55,97.96,0.01,2.52,2.8
2005,1,8,1.19,-9.42,98.37,0,4.19,2.85
2005,1,9,2.38,-2.88,97.11,0.11,4.46,2.98
2005,1,10,0.51,-7.12,97.25,0.08,4.43,2.59
2005,1,11,1.06,-4.72,97.19,0.12,2.6,2.83
2005,1,12,0.41,-4.59,96.86,2.21,3.74,2.55
2005,1,13,2.91,-10.36,92.38,0,6.5,3.15
2005,1,14,2.65,-18.97,87.87,0.02,3.4,3.11
2005,1,15,1.84,-15.96,91.18,0.01,3.36,3.04
2005,1,16,2.85,-15.82,88.66,0,2.04,3.23
2005,1,17,2.29,-13.32,93.26,0,2.83,3.06
2005,1,18,2.26,-6.19,95.86,0.84,7.1,2.99
2005,1,19,2.51,-0.37,96.55,0,3.97,3.14
2005,1,20,2.94,1.5,95.67,0.01,4.6,3.05
2005,1,21,0.5,-0.33,93.57,0,4.85,3
2005,1,22,3.36,-8.9,66.72,0,10.37,3.49
2005,1,23,2.58,-6.78,78.76,0,5.12,3.3
2005,1,24,3.25,1.82,81.13,0,3.88,3.25
2005,1,25,2.17,3.32,94.77,0,4.01,3.2
2005,1,26,1.36,0.13,79.66,0,5.46,3.46
2005,1,27,1.31,-1.74,80.11,0,4.22,3.19
2005,1,28,2.12,-0.58,80.68,1.81,4.06,3.24
2005,1,29,1.81,-0.05,88.11,0.89,1.01,3.37
2005,1,30,1.36,0.29,90.08,0.82,1.46,3.38
2005,1,31,0.92,0.39,91.8,0.55,1.6,3.39
2005,2,1,1.57,0.69,86.8,0,1.76,3.33
2005,2,2,3.05,0.63,85.27,0,2.01,3.54
2005,2,3,3.65,2.73,82.31,0,3.55,3.74
2005,2,4,3.47,5.24,78.14,0,5.07,3.85
2005,2,5,3.51,6.85,75.57,0.13,8.09,3.78
2005,2,6,0.59,5.3,91.46,23.98,4.76,3.58
2005,2,7,1.26,-3,80.03,2.46,6.65,3.83
2005,2,8,0.75,-5.78,78.47,7.2,3.55,3.75
2005,2,9,3.84,-5.81,82.7,0,4.99,4.2
2005,2,10,3.98,-2.79,79.42,0.01,3.27,4.21
2005,2,11,4.17,1.89,76.36,0.08,4.08,4.24
2005,2,12,1.01,3.37,96.92,20.34,4.56,3.69
2005,2,13,1.07,5.98,94.18,6.22,5.8,3.81
2005,2,14,3.98,7.34,83.95,0,5,4.18
2005,2,15,3.64,4.68,77.35,0,6.94,4.06
2005,2,16,4.2,0.66,69.48,0,4.39,4.46
2005,2,17,4.45,1.23,67.23,0,3.94,4.53
2005,2,18,4.48,0.58,67.1,0,2.97,4.56
2005,2,19,0.69,3.41,93.61,3.44,6.19,4.16
2005,2,20,1.78,8.15,84.73,0.25,6.85,4.34
2005,2,21,2.13,1.46,83.6,0,2.58,4.54
2005,2,22,2.49,1.66,78.93,0,3,4.4
2005,2,23,2.07,2.91,77.08,0.01,2.42,4.25
2005,2,24,3.75,1.95,74.23,0,4.52,4.8
2005,2,25,4.66,4.04,67.62,0,4.25,4.89
2005,2,26,3.68,4.43,79.02,0.01,4.32,4.64
2005,2,27,1.17,4.75,83.63,1.02,5.06,4.48
2005,2,28,2.88,-2.87,69.11,0,7.22,5.11
2005,3,1,5.25,-1.68,59.46,0,3.85,5.29
2005,3,2,4.93,4.21,64.17,0,3.59,5.03
2005,3,3,4.1,6.31,79.71,0.17,2.9,5
2005,3,4,5.21,8.55,71.09,0,4.2,5.22
2005,3,5,5.32,5.57,71.6,0,3.45,5.32
2005,3,6,4.63,11.28,71.13,1.49,7.83,5.17
2005,3,7,3.89,5.56,61.88,0,8.38,5.44
2005,3,8,2.05,2.72,70.55,0.07,2.35,5.25
2005,3,9,4.73,1.85,63.23,0.21,3.62,5.59
2005,3,10,4.94,5.67,60.94,0.02,9.37,5.65
2005,3,11,4.74,6.11,58.82,0,6.82,5.65
2005,3,12,4.94,6.91,61.1,0,4.78,5.55
2005,3,13,5.14,1.67,64.83,0,4.37,5.8
2005,3,14,5.24,2.45,64.8,0,2.77,5.92
2005,3,15,4.25,4.48,64.2,0,2.33,5.68
2005,3,16,5.58,6.21,68.6,0,4.51,5.77
2005,3,17,5.46,7.69,60.17,0,8.65,5.98
2005,3,18,5.06,6.62,63.46,0,7.49,5.71
2005,3,19,5.7,2.11,66.04,0,5.14,6.15
2005,3,20,5.03,5.3,70.09,0.07,5.53,5.81
2005,3,21,1.75,6.74,81.07,10.07,9.75,5.23
2005,3,22,0.72,2.6,88.71,4.55,8.59,5.65
2005,3,23,3.68,4.86,76.92,0.02,3.73,5.78
2005,3,24,0.78,4.59,92.26,4.31,4.21,5.54
2005,3,25,0.91,4.41,85.18,0.27,4.57,6.17
2005,3,26,2.06,4.17,77.9,0,3.51,6.09
2005,3,27,6.45,6.65,64.34,0,2.59,6.46
2005,3,28,6.14,10.91,64.35,0,5.7,6.54
2005,3,29,4.55,14.55,77.81,0,8.71,6.19
2005,3,30,2.49,11.85,75.89,0.67,8.04,6.41
2005,3,31,3.42,7.99,63.66,0,4.96,6.71
2005,4,1,6.9,8.1,53.27,0,6.55,6.93
2005,4,2,6.87,8.71,54.86,0,3.47,6.88
2005,4,3,6.73,14.18,67.6,0,4.75,6.8
2005,4,4,6.67,17.32,68.87,0,8.74,6.68
2005,4,5,2.17,17.86,83.95,5.05,7.2,6.23
2005,4,6,2.1,15.26,87.91,20.44,5.51,6.31
2005,4,7,4.58,12.18,68.85,0.06,6.18,6.66
2005,4,8,6.04,12.38,76.05,0.01,4.33,7.08
2005,4,9,5.1,17.5,74.21,0,8.21,6.35
2005,4,10,3.62,17.8,81.33,3.72,6.41,6.47
2005,4,11,4.09,16.08,82.56,13.84,5.04,6.77
2005,4,12,2.38,8.83,82.83,1.78,5.69,7.03
2005,4,13,5.53,11.19,72.1,0.04,4.77,7.15
2005,4,14,7.5,11.3,64.85,0,3.52,7.51
2005,4,15,6.21,14.53,69.76,0.09,3.64,6.96
2005,4,16,5.25,17.12,69.67,0.12,4.84,6.88
2005,4,17,6.47,18.39,70.29,0,5.32,6.79
2005,4,18,4.56,18.85,76.77,0.5,8.89,6.6
2005,4,19,5.36,20.34,78.83,0.99,7.83,6.64
2005,4,20,4.04,21.13,82.13,3.82,4.78,6.81
2005,4,21,4.33,19.23,80.11,6.89,4.39,6.89
2005,4,22,5.02,11.05,64.76,0.65,9.67,7.54
2005,4,23,8.07,7.1,55.19,0,6.38,8.09
2005,4,24,8.01,8.48,52.28,0,2.96,8.11
2005,4,25,2.07,8.1,76.87,3.33,4.6,7.44
2005,4,26,4.38,7.4,61.56,0.05,6.22,7.68
2005,4,27,5.73,10.16,56.55,0,4.36,7.79
2005,4,28,3.01,8.25,74.75,1.19,4.98,7.12
2005,4,29,3.31,5.96,70.82,1.39,5.01,7.55
2005,4,30,6.79,7.94,53.09,0,4.22,8.18
2005,5,1,7.71,6.98,53.04,0,5.66,8.22
2005,5,2,7.22,7.12,54.39,0,4.44,8.27
2005,5,3,7.78,10.57,50.45,0,2.96,8.16
2005,5,4,6.35,12.54,60.39,0.02,4.03,8.07
2005,5,5,5.73,14.5,73.83,0,5.06,7.65
2005,5,6,6.58,18.46,74.53,0,6.12,7.35
2005,5,7,4.57,19.3,71.79,0.63,8.29,7.42
2005,5,8,4.56,19.06,83.13,5.61,7.63,7.32
2005,5,9,7.96,18.67,66.64,0.07,5.43,8.08
2005,5,10,7.62,22.96,72.89,0.14,6.53,7.68
2005,5,11,1.78,21.84,90.41,24.49,5.06,6.87
2005,5,12,3.4,20.76,87.28,45.78,6.21,6.56
2005,5,13,3.32,15.86,82.33,12.27,3.68,7.23
2005,5,14,8.34,12.2,65.99,0,5.37,8.45
2005,5,15,8.58,10.96,64.69,0.02,3.01,8.61
2005,5,16,8.14,15.27,68.32,0,6.23,8.22
2005,5,17,7.2,18.83,69.11,0.01,8.82,8
2005,5,18,3.98,19.95,79.74,6.82,5.46,7.42
2005,5,19,8.06,22.47,62.63,0.06,3.42,8.12
2005,5,20,8.29,21.12,71.93,0,3.63,8.3
2005,5,21,7.38,21.75,79.12,0.01,6.13,8.09
2005,5,22,7.64,22.41,62.97,0,4.41,8.12
2005,5,23,8.33,21.94,57.36,0.04,2.22,8.38
2005,5,24,6.05,20.47,70.32,0.08,4,8.14
2005,5,25,7.32,19.22,73.89,2.79,4.29,8.15
2005,5,26,8.27,17.7,61.27,0.02,3.91,8.56
2005,5,27,4.2,17.75,61.91,1.03,3.66,8.3
2005,5,28,7.15,19.24,58.76,0.79,2.17,8.47
2005,5,29,6.59,19.17,68,2.12,3.83,8.08
2005,5,30,3.99,16.56,67.76,0.33,4.02,8.02
2005,5,31,5.13,19.97,77.94,20.17,4.12,7.67
2005,6,1,5.2,19.88,82.46,4.59,3.2,7.69
